M,N,C,D,T,seed,formulation,mipgap,runtime,bnbcnt,objval_LP,objbnd,objval
5,2,3,6,20,2,TEOC,0,262.4306221,2398,896.7591704,900.1408853,900.1408853
5,2,3,6,20,2,TEOM,0,1024.551065,9677,671.1098263,900.1408855,900.1408855
5,2,3,6,20,2,TEOR,0,229.3285139,5223,890.4590754,900.1408713,900.1408713
5,2,3,6,20,3,TEOC,0,238.1236091,391,898.5713448,901.8043766,901.8043766
5,2,3,6,20,3,TEOM,0,2030.840635,10266,674.8841264,901.8043743,901.8043743
5,2,3,6,20,3,TEOR,0,215.224998,1855,889.1832704,901.804378,901.804378
5,2,3,6,20,4,TEOC,0,195.0532861,307,902.5006749,905.501358,905.501358
5,2,3,6,20,4,TEOM,0,2307.513225,18362,677.6166031,905.5013563,905.5013563
5,2,3,6,20,4,TEOR,0,1296.92738,6036,894.9508013,905.501358,905.501358
5,2,3,6,20,5,TEOC,0,339.364203,620,899.5234272,902.6102544,902.6102544
5,2,3,6,20,5,TEOM,0,1860.642358,15479,680.4415663,902.6102543,902.6102543
5,2,3,6,20,5,TEOR,0,304.6979511,5196,896.5313972,902.6102543,902.6102543
5,2,3,6,20,6,TEOC,0,218.0275159,732,898.1815218,901.9189046,901.9189046
5,2,3,6,20,6,TEOM,0,1794.523832,7923,675.1140303,901.9189012,901.9189012
5,2,3,6,20,6,TEOR,0,182.9397759,2758,890.3531015,901.918846,901.918846
5,2,3,6,20,7,TEOC,0,363.3050749,320,898.9949949,902.9674855,902.9674855
5,2,3,6,20,7,TEOM,2.05E-08,2553.445519,32303,677.2459854,902.967467,902.9674855
5,2,3,6,20,7,TEOR,0,1249.413849,5152,887.2385105,902.9674852,902.9674852
5,2,3,6,20,8,TEOC,0,62.70794296,1,896.4833455,898.8797374,898.8797374
5,2,3,6,20,8,TEOM,0,1185.03183,3952,672.0645317,898.8796836,898.8796836
5,2,3,6,20,8,TEOR,0,124.0432169,597,889.2093602,898.8797374,898.8797374
5,2,3,6,20,9,TEOC,0,323.793329,300,902.452481,905.5567096,905.5567096
5,2,3,6,20,9,TEOM,0,4629.547204,63945,680.2019489,905.5567096,905.5567096
5,2,3,6,20,9,TEOR,0,1103.135488,3335,891.502861,905.5567096,905.5567096
5,2,3,6,20,10,TEOC,0,258.5586822,180,897.7359502,900.9293348,900.9293348
5,2,3,6,20,10,TEOM,0,1553.341899,9400,674.2773133,900.9293138,900.9293138
5,2,3,6,20,10,TEOR,0,141.1959002,932,889.054115,900.9293358,900.9293358
